"","country","continent","variable","value"
"1","Afghanistan","Asia","total_deaths",6736
"2","Albania","Europe","total_deaths",2457
"3","Algeria","Africa","total_deaths",4254
"4","Andorra","Europe","total_deaths",128
"5","Angola","Africa","total_deaths",1008
"6","Anguilla","North America","total_deaths",NA
"7","Antigua And Barbuda","North America","total_deaths",43
"8","Argentina","South America","total_deaths",105721
"9","Armenia","Asia","total_deaths",4614
"10","Aruba","North America","total_deaths",110
"11","Australia","Australia/Oceania","total_deaths",924
"12","Austria","Europe","total_deaths",10737
"13","Azerbaijan","Asia","total_deaths",5023
"14","Bahamas","North America","total_deaths",287
"15","Bahrain","Asia","total_deaths",1384
"16","Bangladesh","Asia","total_deaths",20685
"17","Barbados","North America","total_deaths",48
"18","Belarus","Europe","total_deaths",3454
"19","Belgium","Europe","total_deaths",25241
"20","Belize","North America","total_deaths",337
"21","Benin","Africa","total_deaths",108
"22","Bermuda","North America","total_deaths",33
"23","Bhutan","Asia","total_deaths",2
"24","Bolivia","South America","total_deaths",17806
"25","Bosnia And Herzegovina","Europe","total_deaths",9687
"26","Botswana","Africa","total_deaths",1569
"27","Brazil","South America","total_deaths",556370
"28","British Virgin Islands","North America","total_deaths",31
"29","Brunei Darussalam","Asia","total_deaths",3
"30","Bulgaria","Europe","total_deaths",18211
"31","Burkina Faso","Africa","total_deaths",169
"32","Burundi","Africa","total_deaths",9
"33","Cabo Verde","Africa","total_deaths",298
"34","Cambodia","Asia","total_deaths",1397
"35","Cameroon","Africa","total_deaths",1334
"36","Canada","North America","total_deaths",26598
"37","Caribbean Netherlands","North America","total_deaths",17
"38","Cayman Islands","North America","total_deaths",2
"39","Central African Republic","Africa","total_deaths",98
"40","Chad","Africa","total_deaths",174
"41","Channel Islands","Europe","total_deaths",86
"42","Chile","South America","total_deaths",35448
"43","China Hong Kong Sar","Asia","total_deaths",212
"44","China Macao Sar","Asia","total_deaths",NA
"45","China","Asia","total_deaths",4636
"46","Colombia","South America","total_deaths",120723
"47","Comoros","Africa","total_deaths",147
"48","Congo","Africa","total_deaths",178
"49","Costa Rica","North America","total_deaths",5030
"50","Cote D Ivoire","Africa","total_deaths",329
"51","Croatia","Europe","total_deaths",8259
"52","Cuba","North America","total_deaths",2758
"53","Curacao","North America","total_deaths",126
"54","Cyprus","Asia","total_deaths",419
"55","Czech Republic","Europe","total_deaths",30373
"56","Democratic Republic Of The Congo","Africa","total_deaths",1038
"57","Denmark","Europe","total_deaths",2549
"58","Djibouti","Africa","total_deaths",156
"59","Dominica","North America","total_deaths",NA
"60","Dominican Republic","North America","total_deaths",3963
"61","Ecuador","South America","total_deaths",31591
"62","Egypt","Africa","total_deaths",16518
"63","El Salvador","North America","total_deaths",2629
"64","Equatorial Guinea","Africa","total_deaths",123
"65","Eritrea","Africa","total_deaths",35
"66","Estonia","Europe","total_deaths",1272
"67","Ethiopia","Africa","total_deaths",4385
"68","Faeroe Islands","Europe","total_deaths",2
"69","Falkland Islands Malvinas","South America","total_deaths",NA
"70","Fiji","Australia/Oceania","total_deaths",238
"71","Finland","Europe","total_deaths",982
"72","France","Europe","total_deaths",111867
"73","French Guiana","South America","total_deaths",187
"74","French Polynesia","Australia/Oceania","total_deaths",149
"75","Gabon","Africa","total_deaths",164
"76","Gambia","Africa","total_deaths",212
"77","Georgia","Asia","total_deaths",5820
"78","Germany","Europe","total_deaths",92171
"79","Ghana","Africa","total_deaths",823
"80","Gibraltar","Europe","total_deaths",94
"81","Greece","Europe","total_deaths",12940
"82","Greenland","North America","total_deaths",NA
"83","Grenada","North America","total_deaths",1
"84","Guadeloupe","North America","total_deaths",242
"85","Guatemala","North America","total_deaths",10339
"86","Guinea Bissau","Africa","total_deaths",75
"87","Guinea","Africa","total_deaths",220
"88","Guyana","South America","total_deaths",535
"89","Haiti","North America","total_deaths",555
"90","Holy See","Europe","total_deaths",NA
"91","Honduras","North America","total_deaths",7834
"92","Hungary","Europe","total_deaths",30026
"93","Iceland","Europe","total_deaths",30
"94","India","Asia","total_deaths",424384
"95","Indonesia","Asia","total_deaths",94119
"96","Iran","Asia","total_deaths",90630
"97","Iraq","Asia","total_deaths",18657
"98","Ireland","Europe","total_deaths",5035
"99","Isle Of Man","Europe","total_deaths",29
"100","Israel","Asia","total_deaths",6473
"101","Italy","Europe","total_deaths",128063
"102","Jamaica","North America","total_deaths",1190
"103","Japan","Asia","total_deaths",15184
"104","Jordan","Asia","total_deaths",10032
"105","Kazakhstan","Asia","total_deaths",5866
"106","Kenya","Africa","total_deaths",3931
"107","Kuwait","Asia","total_deaths",2320
"108","Kyrgyzstan","Asia","total_deaths",2325
"109","Laos","Asia","total_deaths",7
"110","Latvia","Europe","total_deaths",2556
"111","Lebanon","Asia","total_deaths",7906
"112","Lesotho","Africa","total_deaths",374
"113","Liberia","Africa","total_deaths",148
"114","Libya","Africa","total_deaths",3509
"115","Liechtenstein","Europe","total_deaths",59
"116","Lithuania","Europe","total_deaths",4415
"117","Luxembourg","Europe","total_deaths",822
"118","Macedonia","Europe","total_deaths",5493
"119","Madagascar","Africa","total_deaths",943
"120","Malawi","Africa","total_deaths",1614
"121","Malaysia","Asia","total_deaths",9024
"122","Maldives","Asia","total_deaths",221
"123","Mali","Africa","total_deaths",532
"124","Malta","Europe","total_deaths",423
"125","Marshall Islands","Australia/Oceania","total_deaths",NA
"126","Martinique","North America","total_deaths",111
"127","Mauritania","Africa","total_deaths",562
"128","Mauritius","Africa","total_deaths",19
"129","Mayotte","Africa","total_deaths",174
"130","Mexico","North America","total_deaths",240456
"131","Micronesia","Australia/Oceania","total_deaths",NA
"132","Moldova","Europe","total_deaths",6255
"133","Monaco","Europe","total_deaths",33
"134","Mongolia","Asia","total_deaths",815
"135","Montenegro","Europe","total_deaths",1630
"136","Montserrat","North America","total_deaths",1
"137","Morocco","Africa","total_deaths",9785
"138","Mozambique","Africa","total_deaths",1434
"139","Myanmar","Asia","total_deaths",9334
"140","Namibia","Africa","total_deaths",3044
"141","Nepal","Asia","total_deaths",9857
"142","Netherlands","Europe","total_deaths",17827
"143","New Caledonia","Australia/Oceania","total_deaths",NA
"144","New Zealand","Australia/Oceania","total_deaths",26
"145","Nicaragua","North America","total_deaths",195
"146","Niger","Africa","total_deaths",195
"147","Nigeria","Africa","total_deaths",2149
"148","Norway","Europe","total_deaths",799
"149","Oman","Asia","total_deaths",3814
"150","Pakistan","Asia","total_deaths",23360
"151","Panama","North America","total_deaths",6808
"152","Papua New Guinea","Australia/Oceania","total_deaths",192
"153","Paraguay","South America","total_deaths",14929
"154","Peru","South America","total_deaths",196291
"155","Philippines","Asia","total_deaths",27889
"156","Poland","Europe","total_deaths",75261
"157","Portugal","Europe","total_deaths",17361
"158","Qatar","Asia","total_deaths",601
"159","Reunion","Africa","total_deaths",275
"160","Romania","Europe","total_deaths",34281
"161","Russia","Europe","total_deaths",158563
"162","Rwanda","Africa","total_deaths",808
"163","Saint Barthelemy","North America","total_deaths",1
"164","Saint Helena","Africa","total_deaths",NA
"165","Saint Kitts And Nevis","North America","total_deaths",3
"166","Saint Lucia","North America","total_deaths",89
"167","Saint Martin","North America","total_deaths",38
"168","Saint Pierre And Miquelon","North America","total_deaths",NA
"169","Saint Vincent And The Grenadines","North America","total_deaths",12
"170","Samoa","Australia/Oceania","total_deaths",NA
"171","San Marino","Europe","total_deaths",90
"172","Sao Tome And Principe","Africa","total_deaths",37
"173","Saudi Arabia","Asia","total_deaths",8237
"174","Senegal","Africa","total_deaths",1353
"175","Serbia","Europe","total_deaths",7114
"176","Seychelles","Africa","total_deaths",94
"177","Sierra Leone","Africa","total_deaths",120
"178","Singapore","Asia","total_deaths",37
"179","Sint Maarten","North America","total_deaths",34
"180","Slovakia","Europe","total_deaths",12540
"181","Slovenia","Europe","total_deaths",4429
"182","Solomon Islands","Australia/Oceania","total_deaths",NA
"183","Somalia","Africa","total_deaths",809
"184","South Africa","Africa","total_deaths",72013
"185","South Korea","Asia","total_deaths",2095
"186","South Sudan","Africa","total_deaths",119
"187","Spain","Europe","total_deaths",81486
"188","Sri Lanka","Asia","total_deaths",4436
"189","State Of Palestine","Asia","total_deaths",3603
"190","Sudan","Africa","total_deaths",2776
"191","Suriname","South America","total_deaths",645
"192","Swaziland","Africa","total_deaths",787
"193","Sweden","Europe","total_deaths",14617
"194","Switzerland","Europe","total_deaths",10906
"195","Syria","Asia","total_deaths",1914
