;country;iso_code;date;total_vaccinations;people_vaccinated;people_fully_vaccinated;New_deaths;population;ratio
0;Afghanistan;AFG;11/05/2021;504502;448878;55624;12;40064421;1.120390583
1;Afghanistan;AFG;20/05/2021;547901;470341;77560;10;40064421;1.173961805
2;Afghanistan;AFG;24/05/2021;573277;476367;96910;10;40064421;1.189002582
3;Afghanistan;AFG;26/05/2021;590454;479372;111082;19;40064421;1.196503002
4;Afghanistan;AFG;27/05/2021;593313;479574;113739;14;40064421;1.19700719
5;Afghanistan;AFG;30/05/2021;600152;480226;119926;20;40064421;1.198634569
6;Afghanistan;AFG;02/06/2021;626290;481690;144600;34;40064421;1.202288684
7;Afghanistan;AFG;03/06/2021;630305;481800;148505;27;40064421;1.202563242
8;Afghanistan;AFG;08/06/2021;641295;482952;158343;64;40064421;1.205438611
9;Afghanistan;AFG;14/06/2021;662003;484737;177266;85;40064421;1.209893936
10;Afghanistan;AFG;22/06/2021;765890;582128;183762;78;40064421;1.452979939
11;Afghanistan;AFG;27/06/2021;835694;649434;186260;56;40064421;1.62097438
12;Afghanistan;AFG;30/06/2021;886854;699200;187654;77;40064421;1.745189329
13;Afghanistan;AFG;05/07/2021;915671;726349;189322;84;40064421;1.812952694
14;Afghanistan;AFG;07/07/2021;934463;735213;199250;55;40064421;1.835077063
15;Afghanistan;AFG;11/07/2021;962093;742934;219159;86;40064421;1.854348525
16;Afghanistan;AFG;20/08/2021;1201286;770542;430744;7;40064421;1.923257546
17;Albania;ALB;02/02/2021;550;549;1;13;2871560;0.019118528
18;Albania;ALB;09/02/2021;1127;689;438;12;2871560;0.023993927
19;Albania;ALB;17/02/2021;1701;1090;611;15;2871560;0.037958462
20;Albania;ALB;18/02/2021;3049;2438;611;18;2871560;0.084901587
21;Albania;ALB;22/02/2021;6728;6073;655;13;2871560;0.211487832
22;Albania;ALB;11/05/2021;622507;440921;181586;4;2871560;15.35475491
23;Albania;ALB;12/05/2021;632676;444755;187921;4;2871560;15.48827118
24;Albania;ALB;13/05/2021;638338;445402;192936;3;2871560;15.51080249
25;Albania;ALB;14/05/2021;653330;448571;204759;3;2871560;15.62116062
26;Albania;ALB;17/05/2021;680083;456980;223103;3;2871560;15.91399797
27;Albania;ALB;18/05/2021;688947;460191;228756;3;2871560;16.02581872
28;Albania;ALB;19/05/2021;697811;463402;234409;1;2871560;16.13763947
29;Albania;ALB;20/05/2021;703743;466083;237660;2;2871560;16.23100336
30;Albania;ALB;21/05/2021;708846;469169;239677;2;2871560;16.33847107
31;Albania;ALB;23/05/2021;716616;472840;243776;1;2871560;16.46631099
32;Albania;ALB;24/05/2021;725135;475237;249898;2;2871560;16.54978479
33;Albania;ALB;26/05/2021;748986;479789;269197;2;2871560;16.70830489
34;Albania;ALB;27/05/2021;759043;481788;277255;0;2871560;16.77791862
35;Albania;ALB;30/05/2021;772204;485162;287042;1;2871560;16.89541573
36;Albania;ALB;31/05/2021;776461;486128;290333;1;2871560;16.92905598
37;Albania;ALB;01/06/2021;780342;487078;293264;1;2871560;16.96213905
38;Albania;ALB;03/06/2021;787321;490050;297271;0;2871560;17.0656368
39;Albania;ALB;06/06/2021;798624;492522;306102;0;2871560;17.15172241
40;Albania;ALB;07/06/2021;803682;493346;310336;0;2871560;17.18041761
41;Albania;ALB;08/06/2021;809992;494437;315555;1;2871560;17.2184109
42;Albania;ALB;09/06/2021;816556;496024;320532;0;2871560;17.27367703
43;Albania;ALB;10/06/2021;823053;498437;324616;0;2871560;17.35770801
44;Albania;ALB;11/06/2021;830281;501735;328546;0;2871560;17.47255847
45;Albania;ALB;12/06/2021;834868;503721;331147;1;2871560;17.54171948
46;Albania;ALB;13/06/2021;836430;504257;332173;0;2871560;17.5603853
47;Albania;ALB;14/06/2021;842535;507764;334771;0;2871560;17.68251403
48;Albania;ALB;15/06/2021;848430;507854;340576;0;2871560;17.68564822
49;Albania;ALB;16/06/2021;854227;509282;344945;1;2871560;17.73537729
50;Albania;ALB;17/06/2021;862628;511175;351453;0;2871560;17.80129964
